TIME	KIN_EN	STRAIN_EN	GRAV_EN	MECH_EN	TIMESTEP	F_CRIT	M_CRIT	DISP_CRIT	ROT_CRIT	
3.183500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931718e-04	1.000036e-04	5.302447e-06	1.983174e-05	
3.184000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931624e-04	1.000036e-04	3.650069e-06	1.420319e-05	
3.184500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931548e-04	1.000036e-04	2.575118e-06	1.054485e-05	
3.185000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930834e-04	1.000036e-04	7.166897e-07	3.767923e-06	
3.185500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930837e-04	1.000036e-04	3.000507e-06	1.251292e-05	
3.186000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931276e-04	1.000036e-04	4.996396e-06	1.472928e-05	
3.186500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931637e-04	1.000036e-04	5.087164e-06	1.965105e-05	
3.187000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931595e-04	1.000036e-04	3.293461e-06	1.266792e-05	
3.187500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931396e-04	1.000036e-04	2.141151e-06	1.013468e-05	
3.188000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930832e-04	1.000036e-04	1.230185e-06	3.343161e-06	
3.188500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930852e-04	1.000036e-04	3.105212e-06	1.419043e-05	
3.189000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931365e-04	1.000036e-04	5.262512e-06	1.583226e-05	
3.189500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931631e-04	1.000036e-04	4.802923e-06	1.863271e-05	
3.190000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931645e-04	1.000036e-04	3.151838e-06	1.198686e-05	
3.190500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931283e-04	1.000036e-04	1.615013e-06	9.316360e-06	
3.191000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930917e-04	1.000036e-04	1.786926e-06	4.398572e-06	
3.191500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930916e-04	1.000036e-04	3.449148e-06	1.515972e-05	
3.192000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931447e-04	1.000036e-04	5.413354e-06	1.723448e-05	
3.192500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931657e-04	1.000036e-04	4.490636e-06	1.728375e-05	
3.193000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931691e-04	1.000036e-04	3.133479e-06	1.142351e-05	
3.193500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931135e-04	1.000036e-04	1.270325e-06	8.013511e-06	
3.194000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930932e-04	1.000036e-04	2.271439e-06	6.301994e-06	
3.194500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930985e-04	1.000036e-04	3.995218e-06	1.545188e-05	
3.195000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931480e-04	1.000036e-04	5.443546e-06	1.864260e-05	
3.195500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931590e-04	1.000036e-04	4.147201e-06	1.610140e-05	
3.196000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931603e-04	1.000036e-04	2.984858e-06	1.083121e-05	
3.196500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930888e-04	1.000036e-04	1.008116e-06	6.199930e-06	
3.197000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930809e-04	1.000036e-04	2.656381e-06	9.150672e-06	
3.197500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931053e-04	1.000036e-04	4.477002e-06	1.518524e-05	
